c_proveedor,c_articulo,c_sucu_empr,q_bultos_kilos_diarco,f_alta_sist,c_usuario_genero_oc,c_terminal_genero_oc,f_genero_oc,c_usuario_bloqueo,m_procesado,f_procesado,u_prefijo_oc,u_sufijo_oc,c_compra_kikker,c_usuario_modif,c_comprador,m_publicado,abastecimiento,cod_cd
11740,90033,390,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,82CD
11740,70396,5,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70396,28,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70396,41,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,1,041
11740,70397,1,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,1,001
11740,70397,2,3,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70511,66,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70513,32,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70630,1,3,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,1,001
11740,70630,10,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70630,12,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70631,74,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70631,75,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70631,87,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70727,1,6,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,1,001
11740,70727,3,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70727,41,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,1,041
11740,70814,5,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70814,10,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70814,12,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70814,13,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70814,18,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70396,48,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70396,46,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70396,87,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70396,60,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70396,25,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70513,28,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70513,60,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70396,42,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70396,74,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70396,37,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70396,32,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70396,31,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70396,44,3,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70396,45,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70396,36,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70396,27,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70396,75,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70396,21,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70396,64,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70396,47,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70396,1,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,1,001
11740,70396,82,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,1,082
11740,70396,11,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70396,78,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70513,33,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,fsegobia            ,202,False,0,41CD
11740,70513,74,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70513,11,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,fsegobia            ,202,False,0,41CD
11740,72522,37,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,81460,44,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,73523,25,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72522,27,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,90033,381,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,82CD
11740,90033,385,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,82CD
11740,90033,412,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,82CD
11740,90033,400,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,82CD
11740,90033,402,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,82CD
11740,90033,348,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,82CD
11740,90033,346,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,82CD
11740,90033,411,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,82CD
11740,90033,383,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,82CD
11740,90033,396,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,82CD
11740,90033,369,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,82CD
11740,90033,373,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,82CD
11740,90033,353,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,82CD
11740,70631,68,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70513,78,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70513,46,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70513,20,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70513,42,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70513,38,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,fsegobia            ,202,False,0,41CD
11740,70513,67,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70513,75,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70513,82,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,1,082
11740,70513,66,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,fsegobia            ,202,False,0,41CD
11740,70513,61,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70513,1,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,1,001
11740,70513,69,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70513,13,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,fsegobia            ,202,False,0,41CD
11740,70513,44,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70513,27,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,fsegobia            ,202,False,0,41CD
11740,70513,79,3,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70513,12,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70513,10,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70513,48,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70513,49,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70513,21,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,fsegobia            ,202,False,0,41CD
11740,70513,25,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,fsegobia            ,202,False,0,41CD
11740,70727,2,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,fsegobia            ,202,False,0,41CD
11740,70727,5,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,fsegobia            ,202,False,0,41CD
11740,70727,42,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70727,48,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70727,45,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,73441,22,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,73440,21,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72527,27,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72521,41,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,1,041
11740,72770,61,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,73524,87,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72522,3,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72770,10,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,73519,5,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,73440,41,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,1,041
11740,73524,5,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72523,5,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,73519,1,3,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,73441,31,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72521,71,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,73519,25,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,73524,2,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,73523,28,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,73440,44,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72770,68,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,73439,1,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,73519,11,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,73441,75,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,73440,42,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,81460,79,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,81460,46,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,73524,31,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72523,37,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,73440,23,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,73440,37,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72770,78,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,90033,22,3,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70727,36,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70727,46,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70727,33,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70727,44,3,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70727,25,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70727,47,3,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70727,37,3,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70727,31,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70727,32,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70727,87,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70401,62,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70505,37,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70401,42,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70401,74,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70397,25,3,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72518,75,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,72519,37,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70397,48,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70505,44,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70400,27,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70400,66,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70814,42,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70814,74,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70630,25,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72519,23,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72518,48,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70631,32,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72520,1,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,1,001
11740,70400,87,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72520,2,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72518,41,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,1,041
11740,70630,23,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70401,23,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70505,12,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70631,46,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72520,20,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72519,27,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70631,64,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70814,79,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70400,30,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70630,21,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70401,87,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70397,33,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70401,25,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70401,70,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,72518,19,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70814,66,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70630,18,3,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72520,25,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70511,33,3,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70511,18,4,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70397,46,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72520,21,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70505,87,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70397,18,3,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70397,64,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70400,32,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70631,36,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70631,60,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70397,41,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,1,041
11740,70397,82,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,1,082
11740,70400,49,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70631,12,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70401,78,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70631,33,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70511,22,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70400,13,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70401,71,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70814,33,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70397,23,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70401,28,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70630,48,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70511,45,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72519,60,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,72519,18,3,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72519,19,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70400,12,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70401,61,3,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70631,26,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70401,19,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70511,32,3,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70397,30,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72518,42,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70511,87,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70505,23,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70631,9,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70631,61,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,72520,37,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70630,28,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72519,21,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70505,68,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70630,41,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,1,041
11740,72520,12,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70511,25,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72518,82,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,1,082
11740,72518,37,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70401,18,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70631,45,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72520,23,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70505,13,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70630,30,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,72518,87,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70505,45,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70505,1,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,1,001
11740,70401,69,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70630,38,2,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
11740,70400,60,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,3,82CD
11740,70511,19,1,2025-10-08 11:53:02.381146,,,,,,,,,20251008_11740_04090,,202,False,0,41CD
